ID,SKU,Nombre,Visibilidad en el catálogo,Precio normal,Meta: unidades_por_caja,Meta: el_producto_es_simple
2232,,Globo playa (~100cm) - Pulpo,visible,105,,
2241,B010,Globo baby shower (~80cm),visible,,,
2242,,Globo baby shower (~80cm) - Beba,visible,75,,
2243,,Globo baby shower (~80cm) - Bebe,visible,75,,
2244,,Globo baby shower (~80cm) - Pie rosa,visible,75,,
2245,,Globo baby shower (~80cm) - Pie azul,visible,75,,
2246,,Globo baby shower (~80cm) - Mamadera rosa,visible,75,,
2247,,Globo baby shower (~80cm) - Mamadera azul,visible,75,,
2256,B006,Globo unicornio con varita (~55cm),visible,,,
2257,,Globo unicornio con varita (~55cm) - Violeta,visible,45,,
2258,,Globo unicornio con varita (~55cm) - Rosa,visible,45,,
2259,,Globo unicornio con varita (~55cm) - Multicolor + rosa,visible,45,,
2260,,Globo unicornio con varita (~55cm) - Multicolor + azul,visible,45,,
2267,B004,Globo animales con varitas (~80cm),visible,,,
2268,,Globo animales con varitas (~80cm) - Caballo,visible,45,,
2269,,Globo animales con varitas (~80cm) - Leon,visible,45,,
2270,,Globo animales con varitas (~80cm) - Oso marron,visible,45,,
2271,,Globo animales con varitas (~80cm) - Chancho,visible,45,,
2272,,Globo animales con varitas (~80cm) - Perro,visible,45,,
2273,,Globo animales con varitas (~80cm) - Oso azul,visible,45,,
2274,,Globo animales con varitas (~80cm) - Tigre,visible,45,,
2290,B007,Globo Arcoiris (~100cm),visible,,,Simple
2291,,Globo Arcoiris (~100cm) - Estrella,visible,95,,
2292,,Globo Arcoiris (~100cm) - Arcoiris corazon,visible,95,,
2293,,Globo Arcoiris (~100cm) - Arcoiris nubes,visible,95,,
2294,,Globo Arcoiris (~100cm) - Corona rosa,visible,95,,
2295,,Globo Arcoiris (~100cm) - Corona dorado,visible,95,,
2296,,Globo Arcoiris (~100cm) - Carrito rosa,visible,95,,
2297,,Globo Arcoiris (~100cm) - Carrito azul,visible,95,,
2305,B013,Globo burbuja(~40cm),visible,,,
2311,,Globo burbuja(~40cm) - Por paquete,visible,800,,
2312,,Globo burbuja(~40cm) - Por bulto,visible,30000,50,
2314,ZL-XYY-01,Inflador para globos,visible,100,,Simple
2320,ZL853-9-1,Tira neon,visible,,,Simple
2321,,Tira neon - Celeste,visible,300,,
2322,,Tira neon - Azul,visible,300,,
2323,,Tira neon - Blanco,visible,300,,
2324,,Tira neon - Rosa,visible,300,,
2325,,Tira neon - Naranja,visible,300,,
2326,,Tira neon - Verde fluor,visible,300,,
2337,A007,Globo caballo en 3D,visible,,,Simple
2346,ZL813-FFF-1,Gorro Bruja,visible,1800,,
2348,ZL843-8-3,Antifaz con tiras brillantes,visible,600,,
2351,ZL852-5-1,Antifaz con plumas y flor,visible,900,,
